algorithm,topology,churn_rate,trial,n_initial,n_rounds,leader_changes,re_elections,avg_alive,avg_lqs,lqs_std
Random,geometric,0.2,4,20,50,2,2,21.38,0.953307518520596,0.0
HighBattery,geometric,0.2,4,20,50,3,3,21.38,0.9671610206012867,1.1102230246251565e-16
MostConnected,geometric,0.2,4,20,50,4,4,21.38,0.8191941880845023,0.0
Raft,geometric,0.2,4,20,50,1,1,21.38,0.9671610206012867,1.1102230246251565e-16
Fitness,geometric,0.2,5,20,50,3,3,12.2,1.0,0.0
Bully,geometric,0.2,5,20,50,2,2,12.2,1.0,0.0
Random,geometric,0.2,5,20,50,3,3,12.2,0.7177660974180324,1.1102230246251565e-16
HighBattery,geometric,0.2,5,20,50,6,6,12.2,1.0,0.0
MostConnected,geometric,0.2,5,20,50,6,6,12.2,0.9094724429881917,1.1102230246251565e-16
Raft,geometric,0.2,5,20,50,4,4,12.2,0.93192508068717,1.1102230246251565e-16
Fitness,geometric,0.2,6,20,50,6,6,20.32,0.9878185405252945,1.1102230246251565e-16
Bully,geometric,0.2,6,20,50,2,2,20.32,0.9878185405252945,1.1102230246251565e-16
Random,geometric,0.2,6,20,50,6,6,20.32,0.8594993794465731,0.0
HighBattery,geometric,0.2,6,20,50,5,5,20.32,0.9878185405252945,1.1102230246251565e-16
MostConnected,geometric,0.2,6,20,50,3,3,20.32,0.9737639574434646,1.1102230246251565e-16
Raft,geometric,0.2,6,20,50,2,2,20.32,1.0,0.0
Fitness,geometric,0.2,7,20,50,3,3,14.32,1.0,0.0
Bully,geometric,0.2,7,20,50,5,5,14.32,0.7539366373612918,0.0
Random,geometric,0.2,7,20,50,4,4,14.32,0.6886254111247214,1.1102230246251565e-16
HighBattery,geometric,0.2,7,20,50,3,3,14.32,0.9134035080259152,0.0
MostConnected,geometric,0.2,7,20,50,5,5,14.32,0.8509138764434329,1.1102230246251565e-16
Raft,geometric,0.2,7,20,50,5,5,14.32,0.83679979952364,0.0
Fitness,geometric,0.2,8,20,50,3,3,18.64,1.0,0.0
Bully,geometric,0.2,8,20,50,4,4,18.64,0.7839248866281772,0.0
Random,geometric,0.2,8,20,50,5,5,18.64,0.9823883607810138,2.220446049250313e-16
HighBattery,geometric,0.2,8,20,50,5,5,18.64,0.7544332343660004,1.1102230246251565e-16
MostConnected,geometric,0.2,8,20,50,4,4,18.64,0.9823883607810138,2.220446049250313e-16
Raft,geometric,0.2,8,20,50,3,3,18.64,0.6433138529547083,1.1102230246251565e-16
Fitness,geometric,0.2,9,20,50,1,1,8.36,0.7670095755990289,1.1102230246251565e-16
Bully,geometric,0.2,9,20,50,4,4,8.36,0.901699375246921,1.1102230246251565e-16
Random,geometric,0.2,9,20,50,1,1,8.36,1.0,0.0
HighBattery,geometric,0.2,9,20,50,1,1,8.36,1.0,0.0
MostConnected,geometric,0.2,9,20,50,7,7,8.36,1.0,0.0
Raft,geometric,0.2,9,20,50,2,2,8.36,1.0,0.0
