algorithm,topology,n_agents,failure_type,trial,initial_leader,initial_lqs,initial_rounds,killed_agents,recovery_leader,recovery_lqs,recovery_rounds,recovery_messages,recovery_notes
Fitness,scale_free,10,leader_and_secondary,12,3,1.0,6,2,5.0,1.0,8,72,
Bully,scale_free,10,leader_and_secondary,12,9,0.6343242712456828,10,2,7.0,0.6344585281033507,8,36,
Random,scale_free,10,leader_and_secondary,12,7,0.6434301819158638,1,2,1.0,0.8793673059232643,1,8,
HighBattery,scale_free,10,leader_and_secondary,12,6,0.7882668322252562,2,2,3.0,1.0,2,8,
MostConnected,scale_free,10,leader_and_secondary,12,3,1.0,2,2,1.0,0.8814411050348174,2,12,
Raft,scale_free,10,leader_and_secondary,12,0,0.8611730191169471,6,2,6.0,0.7487582967795696,6,15,term=1
Fitness,scale_free,10,leader_and_secondary,13,0,1.0,6,2,4.0,1.0,6,48,
Bully,scale_free,10,leader_and_secondary,13,9,0.834995229442512,10,2,7.0,0.7536820840836244,8,36,
Random,scale_free,10,leader_and_secondary,13,6,0.82288745210198,1,2,3.0,0.7763018962614684,1,8,
HighBattery,scale_free,10,leader_and_secondary,13,2,0.8949570953123611,2,2,4.0,0.7389284002111525,2,8,
MostConnected,scale_free,10,leader_and_secondary,13,0,1.0,2,2,2.0,1.0,2,8,
Raft,scale_free,10,leader_and_secondary,13,1,0.8896183023835933,6,2,6.0,0.8584155166690431,6,17,term=1
Fitness,scale_free,10,leader_and_secondary,14,0,1.0,5,2,7.0,1.0,5,24,
Bully,scale_free,10,leader_and_secondary,14,9,0.8505763758235845,10,2,7.0,0.8585409557635967,8,36,
Random,scale_free,10,leader_and_secondary,14,3,0.8785461546656969,1,2,9.0,0.8737319749723101,1,8,
HighBattery,scale_free,10,leader_and_secondary,14,9,0.8505763758235845,2,2,6.0,0.9568612606646889,2,8,
MostConnected,scale_free,10,leader_and_secondary,14,0,1.0,2,2,7.0,1.0,2,8,
Raft,scale_free,10,leader_and_secondary,14,2,0.7939676160410707,7,2,3.0,0.9056777504008883,6,17,term=1
Fitness,scale_free,10,leader_and_secondary,15,3,1.0,6,2,4.0,1.0,8,84,
Bully,scale_free,10,leader_and_secondary,15,9,0.8462269808737543,10,2,7.0,0.7170865503971585,8,36,
Random,scale_free,10,leader_and_secondary,15,3,1.0,1,2,1.0,0.9174195746056341,1,8,
HighBattery,scale_free,10,leader_and_secondary,15,9,0.8462269808737543,2,2,1.0,0.7567389113816145,2,8,
MostConnected,scale_free,10,leader_and_secondary,15,0,0.9340175260471546,2,2,4.0,1.0,2,14,
Raft,scale_free,10,leader_and_secondary,15,0,0.9340175260471546,6,2,2.0,0.7742512789825668,12,18,term=2
Fitness,scale_free,10,leader_and_secondary,16,1,1.0,6,2,4.0,1.0,5,24,
Bully,scale_free,10,leader_and_secondary,16,9,0.7834404699063097,10,2,7.0,0.7137024690345676,8,36,
Random,scale_free,10,leader_and_secondary,16,0,0.9388502306420523,1,2,3.0,0.7256194674104571,1,8,
HighBattery,scale_free,10,leader_and_secondary,16,5,0.844768005310896,2,2,8.0,0.7969254339724358,2,8,
MostConnected,scale_free,10,leader_and_secondary,16,0,0.9388502306420523,2,2,4.0,1.0,2,8,
Raft,scale_free,10,leader_and_secondary,16,1,1.0,6,2,6.0,0.7659907501450725,6,16,term=1
Fitness,scale_free,10,leader_and_secondary,17,0,1.0,6,2,5.0,1.0,7,60,
Bully,scale_free,10,leader_and_secondary,17,9,0.6952085524347072,10,2,7.0,0.748475028622421,8,36,
Random,scale_free,10,leader_and_secondary,17,2,0.8079927726688162,1,2,5.0,0.8323047490302679,1,8,
HighBattery,scale_free,10,leader_and_secondary,17,1,0.8573966821283444,2,2,5.0,0.9321737498762508,2,8,
MostConnected,scale_free,10,leader_and_secondary,17,0,1.0,2,2,1.0,1.0,2,10,
Raft,scale_free,10,leader_and_secondary,17,1,0.8573966821283444,6,2,5.0,1.0,6,19,term=1
Fitness,scale_free,10,leader_and_secondary,18,4,1.0,6,2,2.0,1.0,7,70,
Bully,scale_free,10,leader_and_secondary,18,9,0.6588521051821628,10,2,7.0,0.7412933407098632,8,36,
Random,scale_free,10,leader_and_secondary,18,5,0.7396021251206094,1,2,8.0,0.7435480900770155,1,8,
HighBattery,scale_free,10,leader_and_secondary,18,3,0.8185371089746069,2,2,2.0,0.8099682672833353,2,8,
MostConnected,scale_free,10,leader_and_secondary,18,1,0.932738499879482,2,2,0.0,0.8669317618172088,2,14,
Raft,scale_free,10,leader_and_secondary,18,1,0.932738499879482,6,2,0.0,0.8669317618172088,6,18,No consensus after 20 terms
Fitness,scale_free,10,leader_and_secondary,19,1,1.0,6,2,5.0,1.0,7,70,
Bully,scale_free,10,leader_and_secondary,19,9,0.6988107347841784,10,2,7.0,0.741281307564409,8,36,
Random,scale_free,10,leader_and_secondary,19,9,0.6988107347841784,1,2,8.0,0.6960658968379903,1,8,
HighBattery,scale_free,10,leader_and_secondary,19,3,0.7855664973211494,2,2,7.0,0.9182051297007657,2,8,
MostConnected,scale_free,10,leader_and_secondary,19,1,1.0,2,2,2.0,0.9826777983931296,2,14,
Raft,scale_free,10,leader_and_secondary,19,0,0.9669684012375392,7,2,3.0,0.7461245084222691,6,16,term=1
Fitness,scale_free,10,leader_and_secondary,20,2,1.0,6,2,4.0,1.0,5,30,
Bully,scale_free,10,leader_and_secondary,20,9,0.7155186375884856,10,2,7.0,0.6383882341537984,8,36,
Random,scale_free,10,leader_and_secondary,20,2,1.0,1,2,6.0,0.8177637208848033,1,8,
HighBattery,scale_free,10,leader_and_secondary,20,0,0.9554758424916953,2,2,7.0,0.5077750533020151,2,8,
MostConnected,scale_free,10,leader_and_secondary,20,0,0.9554758424916953,2,2,4.0,1.0,2,10,
Raft,scale_free,10,leader_and_secondary,20,5,0.7452251793118974,6,2,1.0,0.8574531173567896,6,18,term=1
Fitness,scale_free,10,leader_and_secondary,21,0,1.0,6,2,7.0,1.0,7,70,
Bully,scale_free,10,leader_and_secondary,21,9,0.7439285811256493,10,2,7.0,0.7488681632838121,8,36,
Random,scale_free,10,leader_and_secondary,21,1,0.7954557610041034,1,2,3.0,0.9720808468853391,1,8,
HighBattery,scale_free,10,leader_and_secondary,21,0,1.0,2,2,1.0,0.8498774877209492,2,8,
MostConnected,scale_free,10,leader_and_secondary,21,0,1.0,2,2,4.0,0.8630043347435711,2,14,
Raft,scale_free,10,leader_and_secondary,21,5,0.7965626775822744,6,2,1.0,0.875488171971735,6,17,term=1
Fitness,scale_free,10,leader_and_secondary,22,3,1.0,6,2,0.0,1.0,6,40,
Bully,scale_free,10,leader_and_secondary,22,9,0.5251594218758502,10,2,7.0,0.7547314626134913,8,36,
Random,scale_free,10,leader_and_secondary,22,2,0.707358493998342,1,2,6.0,0.80613309140766,1,8,
HighBattery,scale_free,10,leader_and_secondary,22,8,0.7859973576319425,2,2,2.0,0.7369441081004305,2,8,
MostConnected,scale_free,10,leader_and_secondary,22,3,1.0,2,2,1.0,0.9602676594857126,2,10,
Raft,scale_free,10,leader_and_secondary,22,3,1.0,6,2,0.0,1.0,6,17,No consensus after 20 terms
Fitness,scale_free,10,leader_and_secondary,23,3,1.0,6,2,7.0,1.0,6,64,
Bully,scale_free,10,leader_and_secondary,23,9,0.841177580562569,10,2,7.0,0.9013484125651513,8,36,
Random,scale_free,10,leader_and_secondary,23,1,0.8563559236086357,1,2,9.0,0.8670098852178225,1,8,
HighBattery,scale_free,10,leader_and_secondary,23,3,1.0,2,2,9.0,0.8778867603977548,2,8,
MostConnected,scale_free,10,leader_and_secondary,23,2,0.9957344487282521,2,2,4.0,0.9079929135916653,2,12,
Raft,scale_free,10,leader_and_secondary,23,3,1.0,6,2,0.0,1.0,6,20,No consensus after 20 terms
Fitness,scale_free,10,leader_and_secondary,24,1,1.0,6,2,4.0,1.0,6,72,
Bully,scale_free,10,leader_and_secondary,24,9,0.7870262072882137,10,2,7.0,0.7592381082213459,8,36,
Random,scale_free,10,leader_and_secondary,24,0,0.8739634993023044,1,2,2.0,0.5977804226136597,1,8,
HighBattery,scale_free,10,leader_and_secondary,24,1,1.0,2,2,9.0,0.7502998329020473,2,8,
MostConnected,scale_free,10,leader_and_secondary,24,3,0.8747075412456224,2,2,5.0,1.0,2,12,
Raft,scale_free,10,leader_and_secondary,24,0,0.8739634993023044,6,2,1.0,0.8875398538591202,6,16,term=1
Fitness,scale_free,10,leader_and_secondary,25,3,1.0,6,2,0.0,1.0,9,98,
Bully,scale_free,10,leader_and_secondary,25,9,0.7558939681775609,10,2,7.0,0.816712503395374,8,36,
Random,scale_free,10,leader_and_secondary,25,8,0.7563082533434411,1,2,7.0,0.806424241621775,1,8,
HighBattery,scale_free,10,leader_and_secondary,25,3,1.0,2,2,7.0,0.6978460684892535,2,8,
MostConnected,scale_free,10,leader_and_secondary,25,2,0.9866579259937571,2,2,0.0,1.0,2,14,
Raft,scale_free,10,leader_and_secondary,25,1,0.7904736753485697,6,2,2.0,1.0,6,20,term=1
Fitness,scale_free,10,leader_and_secondary,26,0,1.0,6,2,3.0,1.0,6,40,
Bully,scale_free,10,leader_and_secondary,26,9,0.6218526965181608,10,2,7.0,0.8187184618949551,8,36,
Random,scale_free,10,leader_and_secondary,26,2,0.8104613748644168,1,2,9.0,0.5876705308586082,1,8,
HighBattery,scale_free,10,leader_and_secondary,26,7,0.7926911688683959,2,2,6.0,0.9610690700065212,2,8,
MostConnected,scale_free,10,leader_and_secondary,26,0,1.0,2,2,6.0,1.0,2,10,
Raft,scale_free,10,leader_and_secondary,26,2,0.8104613748644168,6,2,9.0,0.6510602385952821,6,17,term=1
Fitness,scale_free,10,leader_and_secondary,27,0,1.0,6,2,5.0,1.0,8,96,
Bully,scale_free,10,leader_and_secondary,27,9,0.6980693806390946,10,2,7.0,0.8544907818049617,8,36,
Random,scale_free,10,leader_and_secondary,27,9,0.6980693806390946,1,2,3.0,0.904552164123106,1,8,
HighBattery,scale_free,10,leader_and_secondary,27,4,0.9861633982064255,2,2,2.0,1.0,2,8,
MostConnected,scale_free,10,leader_and_secondary,27,0,1.0,2,2,6.0,1.0,2,14,
Raft,scale_free,10,leader_and_secondary,27,6,0.7906588996786633,6,2,2.0,0.7599434987293401,6,17,term=1
Fitness,scale_free,10,leader_and_secondary,28,1,1.0,6,2,9.0,1.0,7,70,
Bully,scale_free,10,leader_and_secondary,28,9,0.7968157540599107,10,2,7.0,0.7235295826572795,8,36,
Random,scale_free,10,leader_and_secondary,28,4,0.8480240167903172,1,2,7.0,0.8244211768350093,1,8,
HighBattery,scale_free,10,leader_and_secondary,28,8,0.8855393084664417,2,2,9.0,0.7471647200614211,2,8,
MostConnected,scale_free,10,leader_and_secondary,28,0,0.9625352357755977,2,2,2.0,1.0,2,12,
Raft,scale_free,10,leader_and_secondary,28,4,0.8480240167903172,6,2,7.0,0.7190787292979223,6,16,term=1
Fitness,scale_free,10,leader_and_secondary,29,0,1.0,6,2,2.0,1.0,6,40,
Bully,scale_free,10,leader_and_secondary,29,9,0.6687362892985536,10,2,7.0,0.7501041412685951,8,36,
Random,scale_free,10,leader_and_secondary,29,1,0.9395201522731292,1,2,5.0,0.6441216479275167,1,8,
HighBattery,scale_free,10,leader_and_secondary,29,3,0.8000094996516682,2,2,2.0,1.0,2,8,
MostConnected,scale_free,10,leader_and_secondary,29,0,1.0,2,2,2.0,1.0,2,10,
Raft,scale_free,10,leader_and_secondary,29,0,1.0,6,2,6.0,0.8979930749101134,6,17,term=1
Fitness,geometric,10,leader_only,0,0,1.0,6,1,7.0,1.0,5,66,
Bully,geometric,10,leader_only,0,9,0.9481845272922806,10,1,8.0,0.7205147509273269,9,45,
Random,geometric,10,leader_only,0,3,0.7777792935865993,1,1,2.0,0.7430989093236143,1,9,
HighBattery,geometric,10,leader_only,0,0,1.0,2,1,9.0,0.9768855384116631,2,9,
MostConnected,geometric,10,leader_only,0,0,1.0,2,1,1.0,0.9822463812067964,2,22,
Raft,geometric,10,leader_only,0,3,0.7777792935865993,6,1,0.0,0.9391511533149989,6,22,No consensus after 20 terms
Fitness,geometric,10,leader_only,1,1,1.0,7,1,0.0,1.0,6,64,
Bully,geometric,10,leader_only,1,9,0.8564977932226642,10,1,8.0,0.7332566753086156,9,45,
Random,geometric,10,leader_only,1,6,0.8554712910556291,1,1,0.0,0.792550369277746,1,9,
HighBattery,geometric,10,leader_only,1,5,0.6650035276243983,2,1,3.0,0.8491058647868149,2,9,
MostConnected,geometric,10,leader_only,1,1,1.0,2,1,0.0,1.0,2,16,
Raft,geometric,10,leader_only,1,1,1.0,6,1,4.0,0.8392644659035622,6,16,term=1
Fitness,geometric,10,leader_only,2,3,1.0,7,1,5.0,1.0,6,80,
Bully,geometric,10,leader_only,2,9,0.9261175989590127,10,1,8.0,0.6871462043163323,9,45,
Random,geometric,10,leader_only,2,8,0.9179429716570786,1,1,5.0,1.0,1,9,
HighBattery,geometric,10,leader_only,2,7,0.8446088436340898,2,1,0.0,0.6140985823243185,2,9,
MostConnected,geometric,10,leader_only,2,0,0.7281956255313875,2,1,3.0,1.0,2,20,
Raft,geometric,10,leader_only,2,3,1.0,6,1,0.0,0.9384870791035069,6,18,No consensus after 20 terms
Fitness,geometric,10,leader_only,3,0,1.0,7,1,8.0,0.6554270020744483,7,70,
Bully,geometric,10,leader_only,3,9,0.8929159509199275,10,1,8.0,0.7525863385482827,9,45,
Random,geometric,10,leader_only,3,9,0.8929159509199275,1,1,3.0,0.9610180409700133,1,9,
HighBattery,geometric,10,leader_only,3,8,0.7092400192184594,2,1,7.0,0.5914066257102223,2,9,
MostConnected,geometric,10,leader_only,3,0,1.0,2,1,3.0,0.5924637107428151,2,14,
Raft,geometric,10,leader_only,3,0,1.0,6,1,7.0,0.5077221217022505,12,14,term=2
Fitness,geometric,10,leader_only,4,4,1.0,7,1,1.0,1.0,6,72,
Bully,geometric,10,leader_only,4,9,0.9698548331880072,10,1,8.0,0.8386288186176409,9,45,
Random,geometric,10,leader_only,4,1,0.8061963719453025,1,1,3.0,0.5598174102242945,1,9,
HighBattery,geometric,10,leader_only,4,4,1.0,2,1,0.0,0.7988308217994267,2,9,
MostConnected,geometric,10,leader_only,4,1,0.8061963719453025,2,1,4.0,1.0,2,14,
Raft,geometric,10,leader_only,4,4,1.0,6,1,3.0,0.759525952061565,6,18,term=1
Fitness,geometric,10,leader_only,5,8,1.0,7,1,0.0,1.0,7,90,
Bully,geometric,10,leader_only,5,9,0.6602992226698707,10,1,8.0,1.0,9,45,
Random,geometric,10,leader_only,5,7,0.8438932474674302,1,1,2.0,0.6260700741887254,1,9,
HighBattery,geometric,10,leader_only,5,7,0.8438932474674302,2,1,1.0,0.9294718900733498,2,9,
MostConnected,geometric,10,leader_only,5,3,0.91964652021025,2,1,8.0,1.0,2,18,
Raft,geometric,10,leader_only,5,1,0.883703012041323,6,1,2.0,0.6105835843405331,6,18,term=1
Fitness,geometric,10,leader_only,6,5,1.0,8,1,9.0,1.0,8,120,
Bully,geometric,10,leader_only,6,9,0.9514272353425177,10,1,8.0,0.8821520338468107,9,45,
Random,geometric,10,leader_only,6,0,0.726457724892006,1,1,9.0,0.909201569010777,1,9,
HighBattery,geometric,10,leader_only,6,6,0.9973971702227119,2,1,5.0,1.0,2,9,
MostConnected,geometric,10,leader_only,6,4,0.899481025998191,2,1,0.0,0.8671587472865055,2,20,
Raft,geometric,10,leader_only,6,2,0.5955374427185957,6,1,1.0,0.46945147552983413,6,18,term=1
Fitness,geometric,10,leader_only,7,7,1.0,7,1,1.0,1.0,6,72,
Bully,geometric,10,leader_only,7,9,0.6681664289322568,10,1,8.0,0.9496353518222695,9,45,
Random,geometric,10,leader_only,7,4,0.608059221011714,1,1,9.0,0.6642704577738197,1,9,
HighBattery,geometric,10,leader_only,7,6,0.9967063553951843,2,1,0.0,0.9462239288512658,2,9,
MostConnected,geometric,10,leader_only,7,0,0.9453029965675607,2,1,1.0,0.9935266943013206,2,16,
Raft,geometric,10,leader_only,7,4,0.608059221011714,7,1,5.0,0.5719999935168564,6,18,term=1
Fitness,geometric,10,leader_only,8,0,1.0,8,1,4.0,1.0,7,60,
Bully,geometric,10,leader_only,8,9,0.6714806782714589,10,1,8.0,0.7335073150228538,9,45,
Random,geometric,10,leader_only,8,3,0.6417655900455658,1,1,0.0,1.0,1,9,
HighBattery,geometric,10,leader_only,8,1,0.6836190133379724,2,1,2.0,0.5841684926750355,2,9,
MostConnected,geometric,10,leader_only,8,0,1.0,2,1,4.0,1.0,2,12,
Raft,geometric,10,leader_only,8,0,1.0,6,1,6.0,0.7938356405687031,6,15,term=1
Fitness,geometric,10,leader_only,9,3,1.0,7,1,2.0,1.0,6,72,
Bully,geometric,10,leader_only,9,9,0.5521437418824768,10,1,8.0,0.8174209900540502,9,45,
Random,geometric,10,leader_only,9,6,0.9007792294130714,1,1,8.0,0.7416830285312036,1,9,
HighBattery,geometric,10,leader_only,9,6,0.9007792294130714,2,1,1.0,0.819125402015426,2,9,
MostConnected,geometric,10,leader_only,9,3,1.0,2,1,2.0,1.0,2,18,
Raft,geometric,10,leader_only,9,2,0.5802296508585342,7,1,3.0,1.0,6,19,term=1
Fitness,geometric,10,leader_only,10,2,1.0,7,1,9.0,1.0,7,90,
Bully,geometric,10,leader_only,10,9,0.9474923336805968,10,1,8.0,0.8519239266072315,9,45,
Random,geometric,10,leader_only,10,4,0.7874116615214894,1,1,8.0,0.8358974592175396,1,9,
HighBattery,geometric,10,leader_only,10,2,1.0,2,1,8.0,0.5927412529744184,2,9,
MostConnected,geometric,10,leader_only,10,0,0.9330109350952597,2,1,2.0,1.0,2,18,
Raft,geometric,10,leader_only,10,2,1.0,6,1,1.0,0.8739161615105815,6,17,term=1
Fitness,geometric,10,leader_only,11,1,1.0,7,1,0.0,1.0,6,48,
Bully,geometric,10,leader_only,11,9,0.7783839616085146,10,1,8.0,0.6355271395819573,9,45,
Random,geometric,10,leader_only,11,2,0.7422585652274467,1,1,0.0,0.8526953613130419,1,9,
HighBattery,geometric,10,leader_only,11,8,0.6747678499898875,2,1,3.0,0.8354493258498097,2,9,
MostConnected,geometric,10,leader_only,11,1,1.0,2,1,0.0,1.0,2,12,
Raft,geometric,10,leader_only,11,0,0.9449121853315908,6,1,7.0,0.8017301141688559,6,16,term=1
Fitness,geometric,10,leader_only,12,5,1.0,7,1,2.0,1.0,6,72,
Bully,geometric,10,leader_only,12,9,0.8366864929301041,10,1,8.0,0.8182097981788193,9,45,
Random,geometric,10,leader_only,12,5,1.0,1,1,0.0,0.6754801721306599,1,9,
HighBattery,geometric,10,leader_only,12,7,0.6744545438505704,2,1,5.0,1.0,2,9,
MostConnected,geometric,10,leader_only,12,2,0.8143648243874716,2,1,8.0,1.0,2,18,
Raft,geometric,10,leader_only,12,0,0.5314926343552154,6,1,1.0,0.6936462361026859,6,19,term=1
Fitness,geometric,10,leader_only,13,3,1.0,8,1,8.0,1.0,6,80,
Bully,geometric,10,leader_only,13,9,0.6796938209695113,10,1,8.0,0.9662229028376522,9,45,
Random,geometric,10,leader_only,13,2,0.788883421623973,1,1,4.0,0.8703745446146433,1,9,
HighBattery,geometric,10,leader_only,13,7,0.8733303580160442,2,1,2.0,0.6878295553058181,2,9,
MostConnected,geometric,10,leader_only,13,6,0.9526588342721438,2,1,7.0,1.0,2,18,
Raft,geometric,10,leader_only,13,3,1.0,6,1,6.0,0.8767878697993194,6,18,term=1
Fitness,geometric,10,leader_only,14,9,1.0,7,1,0.0,1.0,7,100,
Bully,geometric,10,leader_only,14,9,1.0,10,1,8.0,0.6694764824492017,9,45,
Random,geometric,10,leader_only,14,4,0.6916750400207865,1,1,7.0,0.8642024527949986,1,9,
HighBattery,geometric,10,leader_only,14,3,0.8535641545848297,2,1,1.0,0.9351166067112017,2,9,
MostConnected,geometric,10,leader_only,14,0,0.9958204564475122,2,1,9.0,1.0,2,18,
Raft,geometric,10,leader_only,14,0,0.9958204564475122,6,1,1.0,0.9066801717263884,16,25,term=3
Fitness,geometric,10,leader_only,15,3,1.0,8,1,4.0,1.0,8,156,
Bully,geometric,10,leader_only,15,9,0.639245880432005,10,1,8.0,0.8022889456659512,9,45,
Random,geometric,10,leader_only,15,1,0.997308207994543,1,1,5.0,0.8569266519747233,1,9,
HighBattery,geometric,10,leader_only,15,7,0.8726876335135626,2,1,5.0,0.9099388785503879,2,9,
MostConnected,geometric,10,leader_only,15,1,0.997308207994543,2,1,3.0,0.9963207024547617,2,26,
Raft,geometric,10,leader_only,15,4,0.9993120894571116,6,1,0.0,0.8010640527366368,6,20,No consensus after 20 terms
Fitness,geometric,10,leader_only,16,2,1.0,7,1,0.0,1.0,7,100,
Bully,geometric,10,leader_only,16,9,0.6257926664022881,10,1,8.0,0.898020137571175,9,45,
Random,geometric,10,leader_only,16,0,0.9960718028071728,1,1,8.0,0.9074901790871066,1,9,
HighBattery,geometric,10,leader_only,16,4,0.7108575978991449,2,1,2.0,1.0,2,9,
MostConnected,geometric,10,leader_only,16,0,0.9960718028071728,2,1,2.0,1.0,2,18,
Raft,geometric,10,leader_only,16,1,0.7452985668390897,6,1,0.0,0.9697533673334615,6,19,No consensus after 20 terms
Fitness,geometric,10,leader_only,17,6,1.0,9,1,2.0,1.0,8,96,
Bully,geometric,10,leader_only,17,9,0.8899418117132352,10,1,8.0,0.6459176502978397,9,45,
Random,geometric,10,leader_only,17,1,0.7482783354783662,1,1,5.0,0.6595966085105445,1,9,
HighBattery,geometric,10,leader_only,17,6,1.0,2,1,7.0,0.7229565328342062,2,9,
MostConnected,geometric,10,leader_only,17,0,0.8647310724319824,2,1,6.0,1.0,2,16,
Raft,geometric,10,leader_only,17,3,0.7905860243364269,6,1,2.0,0.6768203705186969,6,19,term=1
Fitness,geometric,10,leader_only,18,4,1.0,8,1,1.0,1.0,6,88,
Bully,geometric,10,leader_only,18,9,0.8785183201994214,10,1,8.0,0.8990278575476431,9,45,
Random,geometric,10,leader_only,18,1,0.9613767478728442,1,1,0.0,0.6057189443281207,1,9,
HighBattery,geometric,10,leader_only,18,5,0.9644918663184112,2,1,1.0,1.0,2,9,
MostConnected,geometric,10,leader_only,18,1,0.9613767478728442,2,1,4.0,1.0,2,22,
Raft,geometric,10,leader_only,18,1,0.9613767478728442,6,1,0.0,0.6057189443281207,12,19,No consensus after 20 terms
Fitness,geometric,10,leader_only,19,4,1.0,8,1,9.0,1.0,8,84,
Bully,geometric,10,leader_only,19,9,0.7622491055620677,10,1,8.0,0.6143306973262821,9,45,
Random,geometric,10,leader_only,19,8,0.6717515394759439,1,1,3.0,0.6631854586398677,1,9,
HighBattery,geometric,10,leader_only,19,7,0.7853296209668885,2,1,9.0,0.7663763836226951,2,9,
MostConnected,geometric,10,leader_only,19,4,1.0,2,1,9.0,1.0,2,14,
Raft,geometric,10,leader_only,19,4,1.0,6,1,6.0,0.8066509501215096,6,18,term=1
Fitness,geometric,10,leader_only,20,3,1.0,7,1,1.0,1.0,6,96,
Bully,geometric,10,leader_only,20,9,0.7049393425621212,10,1,8.0,0.9107195129312191,9,45,
Random,geometric,10,leader_only,20,9,0.7049393425621212,1,1,8.0,0.9107195129312191,1,9,
HighBattery,geometric,10,leader_only,20,4,0.6141950159848587,2,1,0.0,0.7207018688656963,2,9,
MostConnected,geometric,10,leader_only,20,1,0.9881052759660732,2,1,6.0,0.9957468627900039,2,22,
Raft,geometric,10,leader_only,20,0,0.7255175360716749,6,1,2.0,0.7891267561456529,11,19,term=2
Fitness,geometric,10,leader_only,21,2,1.0,7,1,0.0,1.0,5,48,
Bully,geometric,10,leader_only,21,9,0.7738131269378635,10,1,8.0,0.7666956959906968,9,45,
Random,geometric,10,leader_only,21,5,0.5897230269259524,1,1,3.0,0.6088178236894495,1,9,
HighBattery,geometric,10,leader_only,21,0,0.6596745746043094,2,1,3.0,0.5799812065155037,2,9,
MostConnected,geometric,10,leader_only,21,2,1.0,2,1,0.0,1.0,2,16,
Raft,geometric,10,leader_only,21,0,0.6596745746043094,6,1,6.0,0.9729515620573622,6,18,term=1
Fitness,geometric,10,leader_only,22,1,1.0,9,1,9.0,0.735982258605733,6,64,
Bully,geometric,10,leader_only,22,9,0.6520946510899279,10,1,8.0,0.6661133398295606,9,45,
Random,geometric,10,leader_only,22,6,0.6234541105947811,1,1,9.0,0.6979647616077862,1,9,
HighBattery,geometric,10,leader_only,22,8,0.6702675141376696,2,1,3.0,0.5643061609391555,2,9,
MostConnected,geometric,10,leader_only,22,1,1.0,2,1,6.0,0.7504336466952953,2,16,
Raft,geometric,10,leader_only,22,4,0.8468444042402414,6,1,2.0,0.82367510458962,6,19,term=1
Fitness,geometric,10,leader_only,23,0,1.0,7,1,9.0,1.0,6,80,
Bully,geometric,10,leader_only,23,9,0.987259918556779,10,1,8.0,0.5521513764097252,9,45,
Random,geometric,10,leader_only,23,1,0.7761362525790125,1,1,7.0,0.8467199971594023,1,9,
HighBattery,geometric,10,leader_only,23,0,1.0,2,1,1.0,0.6687485227114877,2,9,
MostConnected,geometric,10,leader_only,23,0,1.0,2,1,9.0,1.0,2,20,
Raft,geometric,10,leader_only,23,4,0.6381248069464189,6,1,6.0,0.7378231734163836,6,19,term=1
Fitness,geometric,10,leader_only,24,1,1.0,9,1,3.0,1.0,7,100,
Bully,geometric,10,leader_only,24,9,0.7340387068886798,10,1,8.0,0.8474442112985212,9,45,
Random,geometric,10,leader_only,24,7,0.9804938914724313,1,1,3.0,0.9685786511012378,1,9,
HighBattery,geometric,10,leader_only,24,4,0.7031671832766259,2,1,1.0,1.0,2,9,
MostConnected,geometric,10,leader_only,24,3,0.9338309006672616,2,1,1.0,1.0,2,18,
Raft,geometric,10,leader_only,24,1,1.0,6,1,0.0,0.6924142605391846,6,18,No consensus after 20 terms
Fitness,geometric,10,leader_only,25,0,1.0,7,1,2.0,1.0,7,70,
Bully,geometric,10,leader_only,25,9,0.8665762905593677,10,1,8.0,0.6875759661803208,9,45,
Random,geometric,10,leader_only,25,1,0.7433570817252708,1,1,6.0,0.6729881233882293,1,9,
HighBattery,geometric,10,leader_only,25,8,0.6425400851429999,2,1,7.0,0.8810038781142164,2,9,
MostConnected,geometric,10,leader_only,25,0,1.0,2,1,2.0,1.0,2,14,
Raft,geometric,10,leader_only,25,7,0.8801735058913047,6,1,1.0,0.7853725809605111,6,18,term=1
Fitness,geometric,10,leader_only,26,9,1.0,9,1,2.0,1.0,6,56,
Bully,geometric,10,leader_only,26,9,1.0,10,1,8.0,0.5232403437594477,9,45,
Random,geometric,10,leader_only,26,1,0.8098797537287998,1,1,6.0,0.541068139139556,1,9,
HighBattery,geometric,10,leader_only,26,1,0.8098797537287998,2,1,3.0,0.627377249433288,2,9,
MostConnected,geometric,10,leader_only,26,2,0.860153473278746,2,1,9.0,1.0,2,14,
Raft,geometric,10,leader_only,26,0,0.8678026628700108,6,1,1.0,0.6045661978091701,6,15,term=1
Fitness,geometric,10,leader_only,27,1,1.0,6,1,0.0,1.0,5,54,
Bully,geometric,10,leader_only,27,9,0.6952152233750472,10,1,8.0,0.8380896203502585,9,45,
Random,geometric,10,leader_only,27,0,0.9386876502553311,1,1,9.0,0.7046869236358262,1,9,
HighBattery,geometric,10,leader_only,27,0,0.9386876502553311,2,1,5.0,0.601413834223425,2,9,
MostConnected,geometric,10,leader_only,27,1,1.0,2,1,0.0,1.0,2,18,
Raft,geometric,10,leader_only,27,0,0.9386876502553311,6,1,1.0,1.0,11,23,term=2
Fitness,geometric,10,leader_only,28,2,1.0,7,1,0.0,1.0,7,70,
Bully,geometric,10,leader_only,28,9,0.5845163390821019,10,1,8.0,0.784546273506423,9,45,
Random,geometric,10,leader_only,28,0,0.8798623388822133,1,1,9.0,0.5684822339698814,1,9,
