algorithm,topology,n_agents,failure_type,trial,initial_leader,initial_lqs,initial_rounds,killed_agents,recovery_leader,recovery_lqs,recovery_rounds,recovery_messages,recovery_notes
Raft,random,10,leader_only,9,2,0.7523785817036708,6,1,6.0,0.8703874549382574,6,18,term=1
Fitness,random,10,leader_only,10,9,1.0,7,1,2.0,1.0,6,80,
Bully,random,10,leader_only,10,9,1.0,10,1,8.0,0.9721533824754204,9,45,
Random,random,10,leader_only,10,0,0.6450841465520496,1,1,6.0,0.7026130189478115,1,9,
HighBattery,random,10,leader_only,10,5,0.9344911111538841,2,1,3.0,0.5577469559958964,2,9,
MostConnected,random,10,leader_only,10,2,0.8075493379959855,2,1,9.0,1.0,2,20,
Raft,random,10,leader_only,10,0,0.6450841465520496,6,1,2.0,0.7715760691006773,16,19,term=3
Fitness,random,10,leader_only,11,6,1.0,6,1,3.0,1.0,6,96,
Bully,random,10,leader_only,11,9,0.5936444775214373,10,1,8.0,0.9142091688499521,9,45,
Random,random,10,leader_only,11,0,0.9496439229184213,1,1,6.0,1.0,1,9,
HighBattery,random,10,leader_only,11,7,0.979988273531478,2,1,1.0,0.6316045362435434,2,9,
MostConnected,random,10,leader_only,11,6,1.0,2,1,3.0,1.0,2,24,
Raft,random,10,leader_only,11,2,0.7006678125579994,6,1,1.0,0.7414054741278311,7,19,term=1
Fitness,random,10,leader_only,12,3,1.0,7,1,4.0,1.0,7,110,
Bully,random,10,leader_only,12,9,0.689818046217271,10,1,8.0,1.0,9,45,
Random,random,10,leader_only,12,3,1.0,1,1,8.0,0.9942896574231157,1,9,
HighBattery,random,10,leader_only,12,3,1.0,2,1,7.0,0.901537359027258,2,9,
MostConnected,random,10,leader_only,12,2,0.8824879606174115,2,1,8.0,1.0,2,20,
Raft,random,10,leader_only,12,0,0.6562469677495932,6,1,1.0,0.6041117814171344,6,18,term=1
Fitness,random,10,leader_only,13,9,1.0,8,1,2.0,1.0,6,56,
Bully,random,10,leader_only,13,9,1.0,10,1,8.0,0.6695289637045516,9,45,
Random,random,10,leader_only,13,3,0.6985843233225877,1,1,0.0,0.742329144111601,1,9,
HighBattery,random,10,leader_only,13,9,1.0,2,1,8.0,0.6695289637045516,2,9,
MostConnected,random,10,leader_only,13,2,0.9541015766177053,2,1,0.0,0.9366084083175087,2,14,
Raft,random,10,leader_only,13,3,0.6985843233225877,6,1,0.0,0.742329144111601,6,19,No consensus after 20 terms
