algorithm,topology,n_agents,trial,rounds_to_converge,messages_sent,lqs,graph_diameter,graph_density,election_time_ms
Bully,scale_free,10,1,10,55,0.754462474969911,3,0.3556,1.224848000006773
Random,scale_free,10,1,1,10,0.7067343279368842,3,0.3556,1.142866000009235
HighBattery,scale_free,10,1,2,10,0.7635740359719353,3,0.3556,1.104690999994773
MostConnected,scale_free,10,1,2,32,1.0,3,0.3556,2.340754000002221
Raft,scale_free,10,1,6,27,1.0,3,0.3556,1.70930000000169
Fitness,scale_free,10,2,6,128,1.0,3,0.3556,2.9325570000082735
Bully,scale_free,10,2,10,55,0.7476361769235798,3,0.3556,1.1697230000038417
Random,scale_free,10,2,1,10,0.7476361769235798,3,0.3556,1.3047990000103482
HighBattery,scale_free,10,2,2,10,1.0,3,0.3556,1.9138919999903692
MostConnected,scale_free,10,2,2,32,1.0,3,0.3556,1.4901209999891307
Raft,scale_free,10,2,6,23,0.9299489974803938,3,0.3556,1.6450609999907329
Fitness,scale_free,10,3,6,128,1.0,3,0.3556,5.2572019999956865
Bully,scale_free,10,3,10,55,0.7543498061249797,3,0.3556,2.6157300000022587
Random,scale_free,10,3,1,10,0.7628688670033507,3,0.3556,2.5966639999950303
HighBattery,scale_free,10,3,2,10,0.8269360178888356,3,0.3556,2.5813409999955184
MostConnected,scale_free,10,3,2,32,0.9676813605066034,3,0.3556,1.8789880000014136
Raft,scale_free,10,3,6,21,0.7220453847580324,3,0.3556,2.2198680000116155
Fitness,scale_free,10,4,6,128,1.0,3,0.3556,5.306829999994989
Bully,scale_free,10,4,10,55,0.8330284339133268,3,0.3556,1.4794550000090112
Random,scale_free,10,4,1,10,0.8363704367850245,3,0.3556,1.2133099999971364
HighBattery,scale_free,10,4,2,10,0.8215804952087664,3,0.3556,1.189552000013805
MostConnected,scale_free,10,4,2,32,1.0,3,0.3556,1.3368319999926825
Raft,scale_free,10,4,6,27,1.0,3,0.3556,1.3962690000113298
Fitness,scale_free,10,5,5,96,1.0,2,0.3556,3.9715440000094304
Bully,scale_free,10,5,10,55,0.8205398453591031,2,0.3556,1.2131010000047127
Random,scale_free,10,5,1,10,0.7533932698047797,2,0.3556,1.2030009999932645
HighBattery,scale_free,10,5,2,10,0.8812712527811807,2,0.3556,1.2205409999950234
MostConnected,scale_free,10,5,2,32,0.9885114118085319,2,0.3556,1.425980999997023
Raft,scale_free,10,5,6,28,0.9885114118085319,2,0.3556,1.3818139999983714
Fitness,scale_free,10,6,6,128,1.0,3,0.3556,6.7765169999916
Bully,scale_free,10,6,10,55,0.7051985960056522,3,0.3556,2.1566369999987955
Random,scale_free,10,6,1,10,0.9085200715289449,3,0.3556,2.061525000002007
HighBattery,scale_free,10,6,2,10,0.9825713121519946,3,0.3556,2.1773179999939885
MostConnected,scale_free,10,6,2,32,1.0,3,0.3556,2.1532170000000406
Raft,scale_free,10,6,6,22,0.8754548872859736,3,0.3556,2.35782999999401
Fitness,scale_free,10,7,6,128,1.0,3,0.3556,4.3772650000022395
Bully,scale_free,10,7,10,55,0.7276332882602357,3,0.3556,1.4528640000008863
Random,scale_free,10,7,1,10,0.7825815466965219,3,0.3556,1.833978000007619
HighBattery,scale_free,10,7,2,10,1.0,3,0.3556,2.28457099998991
MostConnected,scale_free,10,7,2,32,1.0,3,0.3556,2.383072999990077
Raft,scale_free,10,7,6,23,0.8961674964103735,3,0.3556,2.438298000001282
Fitness,scale_free,10,8,6,128,1.0,3,0.3556,3.395091000001571
Bully,scale_free,10,8,10,55,0.7777576105500651,3,0.3556,1.6316570000043384
Random,scale_free,10,8,1,10,0.7969186311038671,3,0.3556,2.2046400000022004
HighBattery,scale_free,10,8,2,10,0.9971790678316186,3,0.3556,2.2228560000030484
MostConnected,scale_free,10,8,2,32,1.0,3,0.3556,1.6238249999958043
Raft,scale_free,10,8,6,21,0.7585852394483407,3,0.3556,1.3125410000043303
Fitness,scale_free,10,9,6,128,1.0,3,0.3556,4.33879999999931
Bully,scale_free,10,9,10,55,0.7243808240829973,3,0.3556,1.4373459999887928
Random,scale_free,10,9,1,10,0.8660504870941798,3,0.3556,2.032752000005189
HighBattery,scale_free,10,9,2,10,0.7497566857799091,3,0.3556,1.5158060000004525
MostConnected,scale_free,10,9,2,32,1.0,3,0.3556,1.8006170000006705
Raft,scale_free,10,9,7,20,0.5908105364824057,3,0.3556,1.6474509999966358
Fitness,scale_free,10,10,6,128,1.0,3,0.3556,5.9663429999972095
Bully,scale_free,10,10,10,55,0.8056512178744255,3,0.3556,1.4088259999880393
Random,scale_free,10,10,1,10,0.8056512178744255,3,0.3556,1.3431219999944233
HighBattery,scale_free,10,10,2,10,1.0,3,0.3556,1.3348819999947636
MostConnected,scale_free,10,10,2,32,0.9310200155109383,3,0.3556,1.6472869999972772
Raft,scale_free,10,10,6,23,0.7952972645671403,3,0.3556,1.5379920000100356
Fitness,scale_free,10,11,6,128,1.0,3,0.3556,4.709263999998825
Bully,scale_free,10,11,10,55,0.6885558777543547,3,0.3556,1.0424209999939649
Random,scale_free,10,11,1,10,0.6831144290852322,3,0.3556,1.0236829999996644
HighBattery,scale_free,10,11,2,10,0.6980101682726134,3,0.3556,1.1485980000003337
MostConnected,scale_free,10,11,2,32,1.0,3,0.3556,1.457167000012305
Raft,scale_free,10,11,6,25,0.9355013978133977,3,0.3556,1.4410120000007964
Fitness,scale_free,10,12,6,128,1.0,3,0.3556,3.7648749999874553
Bully,scale_free,10,12,10,55,0.7451885240402057,3,0.3556,1.2861290000074632
Random,scale_free,10,12,1,10,0.8833656475042754,3,0.3556,1.4572030000010727
HighBattery,scale_free,10,12,2,10,0.8390293053661034,3,0.3556,1.3148619999867606
MostConnected,scale_free,10,12,2,32,0.9754910297055399,3,0.3556,2.2310180000033597
Raft,scale_free,10,12,6,23,0.8833656475042754,3,0.3556,2.192327000003047
Fitness,scale_free,10,13,6,128,1.0,3,0.3556,3.0402910000049133
Bully,scale_free,10,13,10,55,0.8506992433450435,3,0.3556,1.1983079999993151
Random,scale_free,10,13,1,10,0.8773272687041954,3,0.3556,1.1829700000021148
HighBattery,scale_free,10,13,2,10,0.7931205199531572,3,0.3556,1.2188399999928379
MostConnected,scale_free,10,13,2,32,1.0,3,0.3556,1.6236870000057024
Raft,scale_free,10,13,6,27,1.0,3,0.3556,2.1112270000003264
Fitness,scale_free,10,14,6,128,1.0,3,0.3556,4.3937120000094865
Bully,scale_free,10,14,10,55,0.7389732334772162,3,0.3556,1.6485240000037038
Random,scale_free,10,14,1,10,1.0,3,0.3556,1.8627999999978329
HighBattery,scale_free,10,14,2,10,1.0,3,0.3556,1.2740570000033813
MostConnected,scale_free,10,14,2,32,1.0,3,0.3556,1.434703999990461
Raft,scale_free,10,14,6,25,1.0,3,0.3556,1.6100469999997813
Fitness,scale_free,10,15,6,128,1.0,3,0.3556,3.217649999996297
Bully,scale_free,10,15,10,55,0.6741415378311796,3,0.3556,1.239531999999599
Random,scale_free,10,15,1,10,0.7477746204847652,3,0.3556,1.2257489999996096
HighBattery,scale_free,10,15,2,10,1.0,3,0.3556,1.764626000010594
MostConnected,scale_free,10,15,2,32,1.0,3,0.3556,1.7743619999919247
Raft,scale_free,10,15,6,26,1.0,3,0.3556,1.7618760000033262
Fitness,scale_free,10,16,6,128,1.0,3,0.3556,3.647264999997901
Bully,scale_free,10,16,10,55,0.7253997472940373,3,0.3556,1.8088479999960327
Random,scale_free,10,16,1,10,0.7667540882786508,3,0.3556,1.8562019999990298
HighBattery,scale_free,10,16,2,10,0.9127670567327639,3,0.3556,1.3901479999987032
MostConnected,scale_free,10,16,2,32,1.0,3,0.3556,1.5463400000044203
Raft,scale_free,10,16,6,21,0.7324986502458343,3,0.3556,1.5850850000020955
Fitness,scale_free,10,17,6,128,1.0,3,0.3556,4.847251000001052
Bully,scale_free,10,17,10,55,0.7041610332366895,3,0.3556,2.6824010000012777
Random,scale_free,10,17,1,10,0.6911672072646905,3,0.3556,1.4564169999999876
HighBattery,scale_free,10,17,2,10,1.0,3,0.3556,1.477600000001189
MostConnected,scale_free,10,17,2,32,0.8958766405339833,3,0.3556,2.539717000004771
Raft,scale_free,10,17,6,21,0.6868147729726287,3,0.3556,2.187004999996134
Fitness,scale_free,10,18,6,128,1.0,3,0.3556,5.256926000001272
Bully,scale_free,10,18,10,55,0.7958336334214763,3,0.3556,1.3729949999969904
Random,scale_free,10,18,1,10,0.826828165805329,3,0.3556,1.4693010000002005
HighBattery,scale_free,10,18,2,10,0.8506455415156728,3,0.3556,1.4863980000114907
MostConnected,scale_free,10,18,2,32,1.0,3,0.3556,1.6912340000061477
Raft,scale_free,10,18,7,25,1.0,3,0.3556,1.7159829999968679
Fitness,scale_free,10,19,6,128,1.0,3,0.3556,5.387085000009506
Bully,scale_free,10,19,10,55,0.772064485926352,3,0.3556,1.4918370000032155
Random,scale_free,10,19,1,10,0.9681736677834865,3,0.3556,1.8134980000041878
HighBattery,scale_free,10,19,2,10,0.8779494426630018,3,0.3556,1.5500899999949524
MostConnected,scale_free,10,19,2,32,1.0,3,0.3556,1.497192000002201
Raft,scale_free,10,19,6,24,0.815312158041697,3,0.3556,1.715910000001486
Fitness,scale_free,10,20,6,128,1.0,3,0.3556,2.8076690000062854
Bully,scale_free,10,20,10,55,0.7828224013568025,3,0.3556,1.0668249999952195
Random,scale_free,10,20,1,10,0.6940653629667074,3,0.3556,0.995604999999955
HighBattery,scale_free,10,20,2,10,0.8223303896533688,3,0.3556,0.980286000000774
MostConnected,scale_free,10,20,2,32,1.0,3,0.3556,1.1632849999898554
Raft,scale_free,10,20,6,26,1.0,3,0.3556,1.157788000000437
Fitness,scale_free,10,21,6,128,1.0,3,0.3556,3.850565999997002
Bully,scale_free,10,21,10,55,0.8268263272328704,3,0.3556,2.0978029999980663
Random,scale_free,10,21,1,10,0.8268263272328704,3,0.3556,1.6218239999972184
HighBattery,scale_free,10,21,2,10,0.8504356506701771,3,0.3556,1.5765329999908317
MostConnected,scale_free,10,21,2,32,1.0,3,0.3556,2.704146999988666
Raft,scale_free,10,21,6,21,0.6545450383793571,3,0.3556,2.2648439999954917
Fitness,scale_free,10,22,6,128,1.0,3,0.3556,6.518501000002175
Bully,scale_free,10,22,10,55,0.7580339138225883,3,0.3556,3.8693359999939503
Random,scale_free,10,22,1,10,0.8765395987648478,3,0.3556,3.9587589999996453
HighBattery,scale_free,10,22,2,10,0.9505396447811997,3,0.3556,3.501600000006988
MostConnected,scale_free,10,22,2,32,0.8702309576777983,3,0.3556,4.1424280000086355
Raft,scale_free,10,22,6,22,0.8765395987648478,3,0.3556,3.6468929999955435
Fitness,scale_free,10,23,6,128,1.0,3,0.3556,3.2873250000022836
Bully,scale_free,10,23,10,55,0.8850384649436721,3,0.3556,2.25835899999538
Random,scale_free,10,23,1,10,0.8850384649436721,3,0.3556,2.0648240000014084
HighBattery,scale_free,10,23,2,10,0.9746342858052313,3,0.3556,1.4214719999898762
MostConnected,scale_free,10,23,2,32,0.9733382237903687,3,0.3556,1.4294030000030489
Raft,scale_free,10,23,6,20,0.7165460300062293,3,0.3556,1.5293179999957829
Fitness,scale_free,10,24,6,128,1.0,3,0.3556,4.120342999996751
Bully,scale_free,10,24,10,55,0.6702101291057733,3,0.3556,1.5577980000074376
Random,scale_free,10,24,1,10,0.7522115029802114,3,0.3556,1.7917159999996102
HighBattery,scale_free,10,24,2,10,0.7175390667332037,3,0.3556,2.127536999992685
MostConnected,scale_free,10,24,2,32,1.0,3,0.3556,3.182112000004622
Raft,scale_free,10,24,6,26,1.0,3,0.3556,2.977491000009991
Fitness,scale_free,10,25,5,96,1.0,2,0.3556,2.957784999992441
Bully,scale_free,10,25,10,55,0.8266867147289723,2,0.3556,1.2537749999950165
Random,scale_free,10,25,1,10,0.7851023347102122,2,0.3556,1.875983999994446
HighBattery,scale_free,10,25,2,10,0.837904074728881,2,0.3556,1.224802999999497
MostConnected,scale_free,10,25,2,32,1.0,2,0.3556,1.3831959999919263
Raft,scale_free,10,25,6,28,1.0,2,0.3556,1.3969620000011673
Fitness,scale_free,10,26,6,128,1.0,3,0.3556,3.219739000002164
Bully,scale_free,10,26,10,55,0.6902449452924512,3,0.3556,1.2170709999992368
Random,scale_free,10,26,1,10,1.0,3,0.3556,1.2016010000053257
HighBattery,scale_free,10,26,2,10,0.9357706941386447,3,0.3556,1.2877180000003818
MostConnected,scale_free,10,26,2,32,1.0,3,0.3556,1.3820119999934377
Raft,scale_free,10,26,6,24,0.7931499115406299,3,0.3556,1.4766699999881894
Fitness,scale_free,10,27,6,128,1.0,3,0.3556,4.9060010000090415
Bully,scale_free,10,27,10,55,0.6928797145908646,3,0.3556,2.8528050000034
Random,scale_free,10,27,1,10,0.7420675897616301,3,0.3556,2.836947999995232
HighBattery,scale_free,10,27,2,10,0.7746517414039557,3,0.3556,2.5839450000120223
MostConnected,scale_free,10,27,2,32,1.0,3,0.3556,2.0013369999958286
Raft,scale_free,10,27,6,25,1.0,3,0.3556,1.9177369999994198
Fitness,scale_free,10,28,6,128,1.0,3,0.3556,3.9594499999964228
Bully,scale_free,10,28,10,55,0.7762823178090187,3,0.3556,1.3200140000009242
Random,scale_free,10,28,1,10,0.7656643912289088,3,0.3556,1.286514999989663
HighBattery,scale_free,10,28,2,10,0.8528147278274756,3,0.3556,1.2691240000037851
MostConnected,scale_free,10,28,2,32,1.0,3,0.3556,1.430255999991914
Raft,scale_free,10,28,6,25,0.9689525041906661,3,0.3556,1.4565790000062862
Fitness,scale_free,10,29,6,128,1.0,3,0.3556,4.677674000006959
Bully,scale_free,10,29,10,55,0.6429689502433106,3,0.3556,2.0297679999998763
Random,scale_free,10,29,1,10,0.7294027215032293,3,0.3556,2.1270310000005566
HighBattery,scale_free,10,29,2,10,1.0,3,0.3556,1.8804810000006
MostConnected,scale_free,10,29,2,32,1.0,3,0.3556,2.172301000001653
Raft,scale_free,10,29,6,24,0.8437285092034191,3,0.3556,2.784648000002221
Fitness,geometric,10,0,7,100,1.0,6,0.2222,9.982063999999014
Bully,geometric,10,0,10,55,0.9290071588470741,6,0.2222,3.3281359999932647
Random,geometric,10,0,1,10,0.9290071588470741,6,0.2222,2.5816019999922446
HighBattery,geometric,10,0,2,10,0.8420770592088426,6,0.2222,3.041268999993463
MostConnected,geometric,10,0,2,20,1.0,6,0.2222,4.228374999996731
Raft,geometric,10,0,6,21,0.8420770592088426,6,0.2222,3.0233479999992596
Fitness,geometric,10,1,7,140,1.0,4,0.3111,11.27660000000219
Bully,geometric,10,1,10,55,0.8370719505583644,4,0.3111,4.867001999997456
Random,geometric,10,1,1,10,0.8476213694656646,4,0.3111,5.614824999994994
HighBattery,geometric,10,1,2,10,0.6797347323440899,4,0.3111,4.597778000004382
MostConnected,geometric,10,1,2,28,1.0,4,0.3111,4.819130000001337
Raft,geometric,10,1,6,23,0.8276815904437665,4,0.3111,7.095941000002881
Fitness,geometric,10,2,6,152,1.0,4,0.4222,5.233394999990537
Bully,geometric,10,2,10,55,0.7085466842577467,4,0.4222,1.5552809999945794
Random,geometric,10,2,1,10,0.6683283697299555,4,0.4222,1.6468759999952454
HighBattery,geometric,10,2,2,10,0.6683283697299555,4,0.4222,1.6372329999967405
MostConnected,geometric,10,2,2,38,1.0,4,0.4222,2.3691210000009733
Raft,geometric,10,2,6,24,0.8181714117098278,4,0.4222,3.0629130000079385
Fitness,geometric,10,3,7,110,1.0,6,0.2444,16.55832600000906
Bully,geometric,10,3,10,55,0.722111384530063,6,0.2444,5.184418999988338
Random,geometric,10,3,1,10,0.6914638818886809,6,0.2444,5.231551000008494
HighBattery,geometric,10,3,2,10,0.7939329096984811,6,0.2444,6.770926999990934
MostConnected,geometric,10,3,2,22,0.9883017060408051,6,0.2444,8.144830000006209
Raft,geometric,10,3,6,20,0.6914638818886809,6,0.2444,8.292204999989394
Fitness,geometric,10,4,6,184,1.0,3,0.5111,9.793352999992067
Bully,geometric,10,4,10,55,0.9498914755348137,3,0.5111,2.94626699999867
Random,geometric,10,4,1,10,0.7079010975406946,3,0.5111,3.5623799999910943
HighBattery,geometric,10,4,2,10,0.7079010975406946,3,0.5111,2.1295740000084606
MostConnected,geometric,10,4,2,46,0.9498914755348137,3,0.5111,2.182769000000917
Raft,geometric,10,4,7,24,0.8339878517650374,3,0.5111,2.2085159999960524
Fitness,geometric,10,5,8,156,1.0,5,0.2889,7.18519100000492
Bully,geometric,10,5,10,55,0.6084129419671713,5,0.2889,4.921514000002958
Random,geometric,10,5,1,10,0.9907167343368686,5,0.2889,2.9270570000079488
HighBattery,geometric,10,5,2,10,0.5994561046215252,5,0.2889,3.238935999988257
MostConnected,geometric,10,5,2,26,0.9907167343368686,5,0.2889,3.148366999994323
Raft,geometric,10,5,6,23,0.7016692456664351,5,0.2889,3.2153949999980114
Fitness,geometric,10,6,7,150,1.0,4,0.3333,6.048596000013617
Bully,geometric,10,6,10,55,0.741727325140205,4,0.3333,3.7898200000086035
Random,geometric,10,6,1,10,0.9798580437959314,4,0.3333,3.115692999998032
HighBattery,geometric,10,6,2,10,0.741727325140205,4,0.3333,1.8720409999986032
MostConnected,geometric,10,6,2,30,1.0,4,0.3333,3.1007660000028636
Raft,geometric,10,6,6,23,0.9848232922968337,4,0.3333,3.973716999993826
Fitness,geometric,10,7,7,170,1.0,4,0.3778,7.301773999998318
Bully,geometric,10,7,10,55,0.8479467986173909,4,0.3778,2.3063860000007708
Random,geometric,10,7,1,10,0.7669423020148946,4,0.3778,4.135814000008509
HighBattery,geometric,10,7,2,10,0.8385284857147473,4,0.3778,3.8374769999904856
MostConnected,geometric,10,7,2,34,0.9141157164579528,4,0.3778,2.4111679999947455
Raft,geometric,10,7,6,21,0.7183578274266761,4,0.3778,2.5676900000064506
Fitness,geometric,10,8,8,132,1.0,6,0.2444,5.057518999990407
Bully,geometric,10,8,10,55,0.7619970666291312,6,0.2444,2.691671999997425
Random,geometric,10,8,1,10,0.8921373541236423,6,0.2444,2.2136019999976497
HighBattery,geometric,10,8,2,10,1.0,6,0.2444,2.1734420000001364
MostConnected,geometric,10,8,2,22,0.9703397550650088,6,0.2444,2.459928000007494
Raft,geometric,10,8,6,22,0.8921373541236423,6,0.2444,2.5705009999938966
Fitness,geometric,10,9,6,128,1.0,4,0.3556,7.477854000001116
Bully,geometric,10,9,10,55,0.7992260210093517,4,0.3556,3.124968000008721
Random,geometric,10,9,1,10,0.7107286897830766,4,0.3556,2.762884999995663
HighBattery,geometric,10,9,2,10,0.9186585191990475,4,0.3556,5.462219000008872
MostConnected,geometric,10,9,2,32,1.0,4,0.3556,4.17070199999614
Raft,geometric,10,9,7,23,0.7327744229183891,4,0.3556,4.611574999998425
Fitness,geometric,10,10,8,168,1.0,5,0.3111,8.864936999998463
Bully,geometric,10,10,10,55,0.9969505433444773,5,0.3111,2.8302930000023707
Random,geometric,10,10,1,10,0.9381467930688623,5,0.3111,4.029080999998769
HighBattery,geometric,10,10,2,10,0.645337208358692,5,0.3111,4.405563000005941
MostConnected,geometric,10,10,2,28,0.9381467930688623,5,0.3111,2.8201439999975264
Raft,geometric,10,10,7,23,0.9381467930688623,5,0.3111,2.7999130000040395
Fitness,geometric,10,11,7,140,1.0,4,0.3111,16.75959099999602
Bully,geometric,10,11,10,55,0.6067644847309747,4,0.3111,8.61766199999181
Random,geometric,10,11,1,10,0.9923096392780723,4,0.3111,10.59297800000536
HighBattery,geometric,10,11,2,10,1.0,4,0.3111,7.980117000002451
MostConnected,geometric,10,11,2,28,0.7257123877177616,4,0.3111,7.492986999992013
Raft,geometric,10,11,6,23,0.9923096392780723,4,0.3111,8.303506999993715
Fitness,geometric,10,12,7,210,1.0,4,0.4667,3.5545310000060226
Bully,geometric,10,12,10,55,0.9146360483847976,4,0.4667,1.3345060000062858
Random,geometric,10,12,1,10,0.8041601202030328,4,0.4667,1.4079179999981761
HighBattery,geometric,10,12,2,10,0.9622600213768491,4,0.4667,1.411568000008856
MostConnected,geometric,10,12,2,42,0.9795061964804942,4,0.4667,1.506461000005288
Raft,geometric,10,12,6,23,0.8041601202030328,4,0.4667,1.5165900000084775
Fitness,geometric,10,13,7,170,1.0,4,0.3778,5.116587000003392
Bully,geometric,10,13,10,55,0.9482227096504926,4,0.3778,2.425979000008738
Random,geometric,10,13,1,10,0.8097198177107573,4,0.3778,2.4145150000123294
HighBattery,geometric,10,13,2,10,0.9210097494014422,4,0.3778,1.598968000010359
MostConnected,geometric,10,13,2,34,0.9874138112007689,4,0.3778,1.4224749999982578
Raft,geometric,10,13,7,21,0.8097198177107573,4,0.3778,1.4422650000085468
Fitness,geometric,10,14,7,140,1.0,5,0.3111,14.92477399999359
Bully,geometric,10,14,10,55,0.734968578396384,5,0.3111,6.791487000000984
Random,geometric,10,14,1,10,0.9449495166394267,5,0.3111,5.866198999996186
HighBattery,geometric,10,14,2,10,0.9838006918008285,5,0.3111,5.677783999999519
MostConnected,geometric,10,14,2,28,1.0,5,0.3111,6.8246929999986605
Raft,geometric,10,14,6,21,0.6965578753695794,5,0.3111,4.950117000007026
Fitness,geometric,10,15,7,150,1.0,5,0.3333,3.6559499999953005
Bully,geometric,10,15,10,55,0.9971266786253422,5,0.3333,2.111052999993035
Random,geometric,10,15,1,10,0.9446481761965743,5,0.3333,2.4737130000005436
HighBattery,geometric,10,15,2,10,0.7958103332796017,5,0.3333,1.947594000000663
MostConnected,geometric,10,15,2,30,0.9446481761965743,5,0.3333,1.8352179999965301
Raft,geometric,10,15,6,24,0.9446481761965743,5,0.3333,1.7966409999985444
Fitness,geometric,10,16,6,120,1.0,4,0.3333,10.346060000003376
Bully,geometric,10,16,10,55,0.9238067712050061,4,0.3333,5.687358000002973
Random,geometric,10,16,1,10,0.9064400285651234,4,0.3333,4.349732000008544
HighBattery,geometric,10,16,2,10,0.9723579225935828,4,0.3333,5.100642999991578
MostConnected,geometric,10,16,2,30,1.0,4,0.3333,6.454025000010688
Raft,geometric,10,16,6,22,0.8954871232902517,4,0.3333,4.250697999992781
Fitness,geometric,10,17,7,120,1.0,6,0.2667,8.103215999994973
Bully,geometric,10,17,10,55,0.7221189152953358,6,0.2667,3.626788999994801
Random,geometric,10,17,1,10,0.8550796093240949,6,0.2667,3.679414999993469
HighBattery,geometric,10,17,2,10,0.7111762704374949,6,0.2667,3.7301860000127363
MostConnected,geometric,10,17,2,24,1.0,6,0.2667,4.017928999999754
Raft,geometric,10,17,6,22,1.0,6,0.2667,3.9406289999988076
Fitness,geometric,10,18,7,180,1.0,4,0.4,7.689896999991674
Bully,geometric,10,18,10,55,0.8891491118532212,4,0.4,1.6155699999984563
Random,geometric,10,18,1,10,0.5999251169577525,4,0.4,1.591302999997879
HighBattery,geometric,10,18,2,10,0.9967073917189145,4,0.4,1.6558919999880573
MostConnected,geometric,10,18,2,36,0.9978017570745069,4,0.4,1.8193149999916614
Raft,geometric,10,18,6,24,0.9967073917189145,4,0.4,2.26396699999043
Fitness,geometric,10,19,7,120,1.0,5,0.2667,9.184318999999164
Bully,geometric,10,19,10,55,0.9198873419611178,5,0.2667,4.401212000004762
Random,geometric,10,19,1,10,0.7609036319046986,5,0.2667,4.360879000003592
HighBattery,geometric,10,19,2,10,1.0,5,0.2667,3.923060999994732
MostConnected,geometric,10,19,2,24,1.0,5,0.2667,3.9661590000008573
Raft,geometric,10,19,6,21,0.7225147591570873,5,0.2667,7.091803999998092
Fitness,geometric,10,20,7,130,1.0,4,0.2889,10.199717999995528
Bully,geometric,10,20,10,55,0.7514240555907774,4,0.2889,2.8538440000005494
Random,geometric,10,20,1,10,0.6840556178561703,4,0.2889,3.8085099999989325
HighBattery,geometric,10,20,2,10,0.8433619433818589,4,0.2889,4.530726999988133
MostConnected,geometric,10,20,2,26,1.0,4,0.2889,3.7826620000060984
Raft,geometric,10,20,6,20,0.5562689933814129,4,0.2889,3.119174000005387
Fitness,geometric,10,21,7,130,1.0,4,0.2889,6.840694000004532
Bully,geometric,10,21,10,55,0.7914583891891868,4,0.2889,2.8548009999980195
Random,geometric,10,21,1,10,0.6387269928698465,4,0.2889,4.135675999989985
HighBattery,geometric,10,21,2,10,0.7914583891891868,4,0.2889,2.9573000000056027
MostConnected,geometric,10,21,2,26,0.9434999611877576,4,0.2889,4.928353000011043
Raft,geometric,10,21,6,20,0.6387269928698465,4,0.2889,3.7559769999973014
Fitness,geometric,10,22,6,144,1.0,3,0.4,5.652075999989847
Bully,geometric,10,22,10,55,0.9365209408881893,3,0.4,2.016495999995982
Random,geometric,10,22,1,10,0.8446704031729544,3,0.4,2.9035550000031662
HighBattery,geometric,10,22,2,10,0.9566548953428458,3,0.4,2.5691569999963804
MostConnected,geometric,10,22,2,36,1.0,3,0.4,3.3635659999902146
Raft,geometric,10,22,6,23,0.9566548953428458,3,0.4,3.266369999991525
Fitness,geometric,10,23,6,144,1.0,4,0.4,4.318155000007096
Bully,geometric,10,23,10,55,0.8190088057728371,4,0.4,1.3892380000015692
Random,geometric,10,23,1,10,0.6073598350139867,4,0.4,2.0921240000006947
HighBattery,geometric,10,23,2,10,0.846837109890899,4,0.4,2.8157309999983227
MostConnected,geometric,10,23,2,36,1.0,4,0.4,2.5923449999964987
Raft,geometric,10,23,6,21,0.6014628927843441,4,0.4,3.0744820000023765
Fitness,geometric,10,24,6,112,1.0,4,0.3111,10.28005800000642
Bully,geometric,10,24,10,55,0.6109057688921156,4,0.3111,2.791567000002715
Random,geometric,10,24,1,10,0.8809566361141563,4,0.3111,2.6307020000047032
HighBattery,geometric,10,24,2,10,0.8967091898497567,4,0.3111,2.586618999998791
MostConnected,geometric,10,24,2,28,1.0,4,0.3111,2.6254320000020925
Raft,geometric,10,24,6,24,1.0,4,0.3111,4.899200000011206
Fitness,geometric,10,25,6,112,1.0,3,0.3111,9.146076999996922
Bully,geometric,10,25,10,55,0.7337871994806179,3,0.3111,2.3237869999945815
Random,geometric,10,25,1,10,0.7337871994806179,3,0.3111,3.95803600000022
HighBattery,geometric,10,25,2,10,0.7941817644572137,3,0.3111,3.415254999993067
MostConnected,geometric,10,25,2,28,0.9996838132081335,3,0.3111,2.414228999995771
Raft,geometric,10,25,6,23,1.0,3,0.3111,2.4098290000011957
Fitness,geometric,10,26,7,160,1.0,5,0.3556,6.984681000005821
Bully,geometric,10,26,10,55,0.5242917258493884,5,0.3556,3.726174999997056
Random,geometric,10,26,1,10,0.8321224686328288,5,0.3556,3.3814749999976357
HighBattery,geometric,10,26,2,10,0.49514989329727,5,0.3556,4.020265000008294
MostConnected,geometric,10,26,2,32,1.0,5,0.3556,2.8117570000034675
Raft,geometric,10,26,6,23,0.996917014478969,5,0.3556,2.368312000001538
Fitness,geometric,10,27,7,150,1.0,5,0.3333,9.028995000008422
Bully,geometric,10,27,10,55,0.8233840610817769,5,0.3333,2.812390999991976
Random,geometric,10,27,1,10,0.7155355173810214,5,0.3333,4.216378000009513
HighBattery,geometric,10,27,2,10,1.0,5,0.3333,3.0091709999879868
MostConnected,geometric,10,27,2,30,1.0,5,0.3333,4.24797200000171
Raft,geometric,10,27,6,22,0.6578021315998842,5,0.3333,4.077795000000606
Fitness,geometric,10,28,8,144,1.0,6,0.2667,12.103820999996628
Bully,geometric,10,28,10,55,0.9186006214660063,6,0.2667,4.744041999998672
Random,geometric,10,28,1,10,0.6821323548804311,6,0.2667,3.9478860000059512
HighBattery,geometric,10,28,2,10,0.7252226147489004,6,0.2667,4.899934999997413
MostConnected,geometric,10,28,2,24,1.0,6,0.2667,4.022085000002562
Raft,geometric,10,28,6,22,0.9186006214660063,6,0.2667,3.811694999996007
Fitness,geometric,10,29,9,196,1.0,6,0.3111,7.705908999994904
Bully,geometric,10,29,10,55,0.8249092266945,6,0.3111,2.640899000013519
Random,geometric,10,29,1,10,0.851322211851904,6,0.3111,2.7984190000012177
