algorithm,topology,n_agents,trial,rounds_to_converge,messages_sent,lqs,graph_diameter,graph_density,election_time_ms
Fitness,mesh,5,12,6,40,1.0,3,0.5,4.569579000005319
Bully,mesh,5,12,5,15,0.8491566154414694,3,0.5,1.031913000005602
Random,mesh,5,12,1,5,1.0,3,0.5,0.6760890000094832
HighBattery,mesh,5,12,2,5,1.0,3,0.5,0.6347850000025801
MostConnected,mesh,5,12,2,10,1.0,3,0.5,0.7940539999964358
Raft,mesh,5,12,6,11,0.9060908832972023,3,0.5,0.7546209999986786
Fitness,mesh,5,13,6,40,1.0,3,0.5,1.7911529999992126
Bully,mesh,5,13,5,15,0.85373456224289,3,0.5,1.0312950000042065
Random,mesh,5,13,1,5,1.0,3,0.5,0.9479300000094781
HighBattery,mesh,5,13,2,5,1.0,3,0.5,0.6371519999959219
MostConnected,mesh,5,13,2,10,0.9442279717949532,3,0.5,0.7254670000094166
Raft,mesh,5,13,7,11,0.9430547694212243,3,0.5,1.0814849999860598
Fitness,mesh,5,14,6,40,1.0,3,0.5,1.9670279999957074
Bully,mesh,5,14,5,15,0.9975592970989894,3,0.5,0.6394089999872676
Random,mesh,5,14,1,5,0.9975592970989894,3,0.5,0.631827000006524
HighBattery,mesh,5,14,2,5,0.7796984482900654,3,0.5,1.1527559999962023
MostConnected,mesh,5,14,2,10,1.0,3,0.5,0.9586509999905957
Raft,mesh,5,14,8,11,0.8994226919901861,3,0.5,0.9086310000014919
Fitness,mesh,5,15,6,40,1.0,3,0.5,1.5698450000058983
Bully,mesh,5,15,5,15,1.0,3,0.5,0.6544059999953333
Random,mesh,5,15,1,5,0.8393623216602287,3,0.5,0.9674819999929696
HighBattery,mesh,5,15,2,5,0.8393623216602287,3,0.5,0.6606389999888052
MostConnected,mesh,5,15,2,10,0.9592393964419652,3,0.5,0.7705980000025647
Raft,mesh,5,15,6,11,1.0,3,0.5,1.33698800000559
Fitness,mesh,5,16,6,40,1.0,3,0.5,3.0115670000014916
Bully,mesh,5,16,5,15,1.0,3,0.5,1.305849000004855
Random,mesh,5,16,1,5,0.945261114495509,3,0.5,1.2691270000004806
HighBattery,mesh,5,16,2,5,1.0,3,0.5,0.7944549999905348
MostConnected,mesh,5,16,2,10,0.9560141725507183,3,0.5,0.9487749999976813
Raft,mesh,5,16,7,11,0.945261114495509,3,0.5,1.1577169999981152
Fitness,mesh,5,17,6,40,1.0,3,0.5,1.9260909999871956
Bully,mesh,5,17,5,15,0.9054485167531794,3,0.5,0.822140000011018
Random,mesh,5,17,1,5,0.7123077242292425,3,0.5,0.9460520000033057
HighBattery,mesh,5,17,2,5,1.0,3,0.5,0.6439989999904583
MostConnected,mesh,5,17,2,10,1.0,3,0.5,1.3034659999959786
Raft,mesh,5,17,6,11,0.8908412651632479,3,0.5,0.7945909999875767
Fitness,mesh,5,18,6,40,1.0,3,0.5,2.8534530000001723
Bully,mesh,5,18,5,15,0.7975290727251569,3,0.5,1.1452439999999342
Random,mesh,5,18,1,5,0.7359805878223208,3,0.5,1.0447140000025001
HighBattery,mesh,5,18,2,5,0.7975290727251569,3,0.5,0.6525189999990744
MostConnected,mesh,5,18,2,10,1.0,3,0.5,0.9738440000006676
Raft,mesh,5,18,6,10,0.7359805878223208,3,0.5,0.744659000005754
Fitness,mesh,5,19,6,40,1.0,3,0.5,1.8579540000018824
Bully,mesh,5,19,5,15,0.9444998866005339,3,0.5,1.0052450000017643
Random,mesh,5,19,1,5,0.9085245091705411,3,0.5,1.2397919999926899
HighBattery,mesh,5,19,2,5,0.9428448415718764,3,0.5,0.8676909999962845
MostConnected,mesh,5,19,2,10,1.0,3,0.5,0.7395199999962188
Raft,mesh,5,19,6,11,0.9085245091705411,3,0.5,0.7895960000041669
Fitness,mesh,5,20,6,40,1.0,3,0.5,2.1759870000011006
Bully,mesh,5,20,5,15,0.9745914815059589,3,0.5,1.1028619999962075
Random,mesh,5,20,1,5,0.9745914815059589,3,0.5,0.7000240000110125
HighBattery,mesh,5,20,2,5,0.882366032653733,3,0.5,1.0132349999878443
MostConnected,mesh,5,20,2,10,1.0,3,0.5,0.7480619999995497
Raft,mesh,5,20,6,11,0.9846218421216972,3,0.5,0.7264659999890455
Fitness,mesh,5,21,6,40,1.0,3,0.5,4.186140999991039
Bully,mesh,5,21,5,15,0.9659212878362757,3,0.5,1.5945980000111604
Random,mesh,5,21,1,5,0.8058331087036299,3,0.5,1.2808919999969248
HighBattery,mesh,5,21,2,5,1.0,3,0.5,1.2303540000004887
MostConnected,mesh,5,21,2,10,1.0,3,0.5,1.39763299999629
Raft,mesh,5,21,6,11,0.846224481034851,3,0.5,0.927505000007045
Fitness,mesh,5,22,6,40,1.0,3,0.5,2.5356299999970133
Bully,mesh,5,22,5,15,0.9106186176256873,3,0.5,0.93018000001166
Random,mesh,5,22,1,5,0.824191690639868,3,0.5,1.0740480000066555
HighBattery,mesh,5,22,2,5,0.9106186176256873,3,0.5,0.7568850000012617
MostConnected,mesh,5,22,2,10,0.9567577192774817,3,0.5,0.9527630000008003
Raft,mesh,5,22,6,11,1.0,3,0.5,0.8048090000016828
Fitness,mesh,5,23,6,40,1.0,3,0.5,2.15506199999993
Bully,mesh,5,23,5,15,0.9967063584860039,3,0.5,1.12033000000622
Random,mesh,5,23,1,5,1.0,3,0.5,1.3044469999954345
HighBattery,mesh,5,23,2,5,0.8861903965795072,3,0.5,1.3238619999924595
MostConnected,mesh,5,23,2,10,0.9632975656373409,3,0.5,1.5364519999963022
Raft,mesh,5,23,6,11,1.0,3,0.5,1.4303210000008448
Fitness,mesh,5,24,6,40,1.0,3,0.5,1.8196489999979804
Bully,mesh,5,24,5,15,1.0,3,0.5,0.6463980000006586
Random,mesh,5,24,1,5,0.9307180316749676,3,0.5,1.1161049999941497
HighBattery,mesh,5,24,2,5,0.9031376445132082,3,0.5,0.7649499999899945
MostConnected,mesh,5,24,2,10,0.9307180316749676,3,0.5,0.8005279999991899
Raft,mesh,5,24,6,11,0.936844908462695,3,0.5,0.7329870000063465
Fitness,mesh,5,25,6,40,1.0,3,0.5,1.5051590000041415
Bully,mesh,5,25,5,15,1.0,3,0.5,0.6212369999900602
Random,mesh,5,25,1,5,0.8942917629174008,3,0.5,0.6135839999927839
HighBattery,mesh,5,25,2,5,1.0,3,0.5,0.6458049999906734
MostConnected,mesh,5,25,2,10,0.918085704243016,3,0.5,0.7013919999963036
Raft,mesh,5,25,6,12,0.918085704243016,3,0.5,0.7134539999924527
Fitness,mesh,5,26,6,40,1.0,3,0.5,2.2542460000067877
Bully,mesh,5,26,5,15,0.947706633703181,3,0.5,0.8589440000008608
Random,mesh,5,26,1,5,0.7521041543531826,3,0.5,0.6943730000017467
HighBattery,mesh,5,26,2,5,0.947706633703181,3,0.5,0.6692409999971005
MostConnected,mesh,5,26,2,10,1.0,3,0.5,1.5517030000040677
Raft,mesh,5,26,6,11,0.9916897087045231,3,0.5,0.9061439999982213
Fitness,mesh,5,27,6,40,1.0,3,0.5,1.6986680000030674
Bully,mesh,5,27,5,15,0.8892204875406008,3,0.5,0.8224500000011403
Random,mesh,5,27,1,5,0.9301350244628734,3,0.5,0.7128190000003087
HighBattery,mesh,5,27,2,5,0.7992056128291799,3,0.5,0.6726980000024696
MostConnected,mesh,5,27,2,10,1.0,3,0.5,0.8130090000122436
Raft,mesh,5,27,6,10,0.7992056128291799,3,0.5,0.9462980000023435
Fitness,mesh,5,28,6,40,1.0,3,0.5,1.5357110000024932
Bully,mesh,5,28,5,15,0.9236927405018832,3,0.5,0.6301439999987224
Random,mesh,5,28,1,5,0.9236927405018832,3,0.5,0.62454700000103
HighBattery,mesh,5,28,2,5,0.8326202258387617,3,0.5,0.620297999986974
MostConnected,mesh,5,28,2,10,1.0,3,0.5,0.7299420000066448
Raft,mesh,5,28,6,11,0.7753405801600441,3,0.5,0.8582780000097046
Fitness,mesh,5,29,6,40,1.0,3,0.5,1.4519070000034162
Bully,mesh,5,29,5,15,1.0,3,0.5,0.8156319999983452
Random,mesh,5,29,1,5,1.0,3,0.5,1.0482260000088672
HighBattery,mesh,5,29,2,5,0.9707681733742627,3,0.5,0.9585520000001679
MostConnected,mesh,5,29,2,10,0.8966750411737899,3,0.5,1.3574059999967858
Raft,mesh,5,29,6,11,0.866773919598802,3,0.5,0.8925460000028806
Fitness,random,5,0,6,32,1.0,3,0.4,2.1790730000077474
Bully,random,5,0,5,15,0.7955989060695108,3,0.4,0.7473169999911988
Random,random,5,0,1,5,0.7694976977598381,3,0.4,0.7696439999875793
HighBattery,random,5,0,2,5,0.8279207145010216,3,0.4,0.7037279999906332
MostConnected,random,5,0,2,8,1.0,3,0.4,1.0660490000020673
Raft,random,5,0,8,10,0.8279207145010216,3,0.4,1.0603249999974196
Fitness,random,5,1,6,32,1.0,3,0.4,1.6196500000091874
Bully,random,5,1,5,15,0.7849863242186468,3,0.4,0.6941710000063495
Random,random,5,1,1,5,0.7849863242186468,3,0.4,0.7650479999909976
HighBattery,random,5,1,2,5,1.0,3,0.4,0.7078259999957481
MostConnected,random,5,1,2,8,0.9718649057780805,3,0.4,0.7883070000076486
Raft,random,5,1,6,10,0.7849863242186468,3,0.4,0.8014590000016142
Fitness,random,5,2,7,40,1.0,4,0.4,1.1476220000048443
Bully,random,5,2,5,15,0.8109799908247759,4,0.4,0.4495989999924177
Random,random,5,2,1,5,0.9195241597406726,4,0.4,1.1191130000014482
HighBattery,random,5,2,2,5,0.8109799908247759,4,0.4,1.0496590000030892
MostConnected,random,5,2,2,8,1.0,4,0.4,0.8370279999923014
Raft,random,5,2,6,10,0.8186341902095299,4,0.4,1.5626300000093352
Fitness,random,5,3,5,30,1.0,2,0.5,2.4329729999976735
Bully,random,5,3,5,15,0.9412922340773341,2,0.5,0.651487999988376
Random,random,5,3,1,5,1.0,2,0.5,0.7100779999973383
HighBattery,random,5,3,2,5,0.8022081964447234,2,0.5,0.6115410000120391
MostConnected,random,5,3,2,10,1.0,2,0.5,1.0067169999956604
Raft,random,5,3,6,10,0.8022081964447234,2,0.5,1.8476150000026337
Fitness,random,5,4,6,32,1.0,4,0.4,2.3020629999876974
