algorithm,topology,n_agents,trial,lqs,leader_fitness,rounds_to_converge,messages_sent,election_time_ms
Fitness,mesh,10,17,1.0,0.8098125497948139,7,130,9.138173000000194
Bully,mesh,10,17,0.8509039121018135,0.6890726666895518,10,55,4.910506999999953
Random,mesh,10,17,0.9638562334866319,0.7805428740754348,1,10,4.41681599999999
HighBattery,mesh,10,17,0.8509039121018135,0.6890726666895518,2,10,9.233895999999575
MostConnected,mesh,10,17,1.0,0.8098125497948139,2,26,6.924681000000099
Raft,mesh,10,17,0.7984883659396098,0.0,6,21,7.7120280000002595
Fitness,mesh,10,18,1.0,0.8662925406695182,7,130,7.661768999999374
Bully,mesh,10,18,0.7870330392480768,0.681800851161069,10,55,3.400060000000593
Random,mesh,10,18,0.9730688518029683,0.8429622878747643,1,10,2.915441999999935
HighBattery,mesh,10,18,0.9730688518029683,0.8429622878747643,2,10,3.5049399999991238
MostConnected,mesh,10,18,1.0,0.8662925406695182,2,26,3.3409269999999935
Raft,mesh,10,18,0.9230701605410759,0.7996487945913487,6,22,3.487819999999253
Fitness,mesh,10,19,1.0,0.7855852685748055,7,130,5.6974150000002055
Bully,mesh,10,19,0.8131281834470325,0.6387815223789808,10,55,4.1340710000001835
Random,mesh,10,19,0.8511848008391695,0.6686782403740312,1,10,2.4850110000000925
HighBattery,mesh,10,19,0.801732349860474,0.6298291233902504,2,10,3.6842689999998512
MostConnected,mesh,10,19,0.8257401324800817,0.6486892837473605,2,26,3.6218910000007654
Raft,mesh,10,19,0.916400453810263,0.0,6,21,3.505953000000339
Fitness,mesh,10,20,1.0,0.852747918793195,7,130,9.34494400000041
Bully,mesh,10,20,0.8277466671403,0.7058592476918943,10,55,4.125671999999803
Random,mesh,10,20,0.936403831233383,0.7985164182342416,1,10,2.673392000000163
HighBattery,mesh,10,20,0.8277466671403,0.7058592476918943,2,10,3.291332999999952
MostConnected,mesh,10,20,1.0,0.852747918793195,2,26,2.6393239999995544
Raft,mesh,10,20,0.936403831233383,0.7985164182342416,6,22,4.392399000000324
Fitness,mesh,10,21,1.0,0.8463956746832734,7,130,11.166692999999839
Bully,mesh,10,21,0.8127083597319024,0.6878728404560199,10,55,4.11395700000039
Random,mesh,10,21,0.718648696246786,0.6082611481200532,1,10,3.0751140000004895
HighBattery,mesh,10,21,0.7778761884402293,0.658391041334921,2,10,2.9879910000003562
MostConnected,mesh,10,21,1.0,0.8463956746832734,2,26,5.113102999999342
Raft,mesh,10,21,0.8232960133005303,0.0,6,21,3.4218649999999684
Fitness,mesh,10,22,1.0,0.8540417811710727,7,130,6.964545999999849
Bully,mesh,10,22,0.8014824563201406,0.6844995045730193,10,55,3.201221999999504
Random,mesh,10,22,0.8045021187712642,0.6870784224713123,1,10,2.382979000000063
HighBattery,mesh,10,22,0.9835242861369389,0.839970833157399,2,10,2.3790019999996304
MostConnected,mesh,10,22,1.0,0.8540417811710727,2,26,2.553105999999694
Raft,mesh,10,22,0.8014824563201406,0.6844995045730193,6,21,2.6497279999997403
Fitness,mesh,10,23,1.0,0.8291457274801649,7,130,5.977762999999747
Bully,mesh,10,23,0.7978187948279728,0.661508045034988,10,55,2.4153379999996005
Random,mesh,10,23,0.7812460379749926,0.6477668144977717,1,10,2.867882999999516
HighBattery,mesh,10,23,0.8810463399656698,0.730515808494572,2,10,3.291087000000026
MostConnected,mesh,10,23,1.0,0.8291457274801649,2,26,3.1260809999995587
Raft,mesh,10,23,0.9005111042162262,0.0,6,21,4.131735999999719
Fitness,mesh,10,24,1.0,0.8417944164411575,7,130,5.772393000000875
Bully,mesh,10,24,0.8415521440738296,0.7084138960254343,10,55,2.554984999999732
Random,mesh,10,24,0.9658286011584797,0.8130291236943819,1,10,2.8487070000000614
HighBattery,mesh,10,24,0.7759790959311765,0.6532148702299218,2,10,3.7543610000003724
MostConnected,mesh,10,24,1.0,0.8417944164411575,2,26,7.308550000000302
Raft,mesh,10,24,0.8837487124647129,0.7439347316898572,6,22,4.388223000000302
Fitness,mesh,10,25,1.0,0.8655449068435276,7,130,8.682959999999795
Bully,mesh,10,25,0.708181439010073,0.612962837656289,10,55,2.7295709999997086
Random,mesh,10,25,0.8537834851216786,0.7389879470941856,1,10,2.5555480000001296
HighBattery,mesh,10,25,0.7734227643670705,0.6694321345347596,2,10,3.9865100000007203
MostConnected,mesh,10,25,1.0,0.8655449068435276,2,26,3.329787000000195
Raft,mesh,10,25,0.8830858871497453,0.7643504919278602,6,22,3.2195799999996666
Fitness,mesh,10,26,1.0,0.9012305031674673,7,130,7.177028000000085
Bully,mesh,10,26,0.7721350330615827,0.6958716443593193,10,55,2.81789599999982
Random,mesh,10,26,0.7948904800980463,0.716379547341792,1,10,2.366280000000387
HighBattery,mesh,10,26,0.9110432020224062,0.8210599233659537,2,10,2.559072000000384
MostConnected,mesh,10,26,1.0,0.9012305031674673,2,26,2.6169559999997816
Raft,mesh,10,26,0.8778982817429025,0.0,6,21,3.3111279999999965
Fitness,mesh,10,27,1.0,0.8438955903116425,7,130,7.939783999999506
Bully,mesh,10,27,0.8406222808037044,0.7093974358879614,10,55,4.259811999999918
Random,mesh,10,27,0.9458675400963392,0.7982134461062214,1,10,3.430062000000511
HighBattery,mesh,10,27,0.9458675400963392,0.7982134461062214,2,10,2.34826699999946
MostConnected,mesh,10,27,1.0,0.8438955903116425,2,26,3.8264940000001246
Raft,mesh,10,27,0.8658599219507234,0.7306953699617984,6,22,3.953994000000627
Fitness,mesh,10,28,1.0,0.8007642113073423,7,130,10.170659999999998
Bully,mesh,10,28,0.6279413182190611,0.5028329344309793,10,55,4.054562000000317
Random,mesh,10,28,0.9240621587091304,0.739955905717677,1,10,3.2965080000000313
HighBattery,mesh,10,28,0.9917049143293639,0.7941218035725686,2,10,2.610266000000472
MostConnected,mesh,10,28,0.9917049143293639,0.7941218035725686,2,26,2.5591249999994403
Raft,mesh,10,28,0.9598934352052685,0.7686483095812423,6,22,4.425261999999819
Fitness,mesh,10,29,1.0,0.8101291264743902,7,130,7.544683999999968
Bully,mesh,10,29,0.8863881351398992,0.7180888456381502,10,55,3.1749500000000097
Random,mesh,10,29,0.9114853917717556,0.7384208642302197,1,10,3.6302660000000486
HighBattery,mesh,10,29,0.8836935153377219,0.7159058556516318,2,10,4.400322000000401
MostConnected,mesh,10,29,1.0,0.8101291264743902,2,26,3.861177999999299
Raft,mesh,10,29,0.8836935153377219,0.0,6,21,3.2290169999997786
Fitness,random,10,0,1.0,0.9270658753331726,7,110,6.773712000000209
Bully,random,10,0,0.7737643816718581,0.7173305537962522,10,55,4.511595999999507
Random,random,10,0,0.6355852936280456,0.5892294365861757,1,10,3.8759239999999195
HighBattery,random,10,0,0.7614023929619242,0.7058701759120186,2,10,3.7433339999992654
MostConnected,random,10,0,1.0,0.9270658753331726,2,22,3.694065000000357
Raft,random,10,0,0.6355852936280456,0.0,6,21,3.4571590000007646
Fitness,random,10,1,1.0,0.8386241598272536,7,140,3.975192000000405
Bully,random,10,1,0.7020955657632257,0.5887943039566255,10,55,1.300697999999656
Random,random,10,1,0.9292151320315887,0.7792622593987616,1,10,1.2878960000000106
HighBattery,random,10,1,0.9430688412512325,0.7908803146535764,2,10,1.2873129999997346
MostConnected,random,10,1,1.0,0.8386241598272536,2,28,1.626704000000423
Raft,random,10,1,0.5948937965559895,0.4988923103232118,6,20,1.8020070000002164
Fitness,random,10,2,1.0,0.926532486557795,7,140,9.814108999999682
Bully,random,10,2,0.8970487582966742,0.8311448165881999,10,55,4.368975999999414
Random,random,10,2,0.8970487582966742,0.8311448165881999,1,10,4.603176999999903
HighBattery,random,10,2,0.6140195855069127,0.5689090933549065,2,10,2.7345060000003585
MostConnected,random,10,2,0.8687287705121828,0.8049054278869487,2,28,4.509580999999763
Raft,random,10,2,1.0,0.926532486557795,6,23,3.675760000000139
Fitness,random,10,3,1.0,0.9140181779653094,9,140,11.766120999999963
Bully,random,10,3,0.5858737128792332,0.5354992235636475,10,55,5.911309000000031
Random,random,10,3,0.8188675344661758,0.7484598118477191,1,10,5.544782999999498
HighBattery,random,10,3,1.0,0.9140181779653094,2,10,3.6134150000002307
MostConnected,random,10,3,0.8300303607985663,0.758662838032994,2,20,3.7446769999993634
Raft,random,10,3,0.7335299138578155,0.6704596753473708,6,20,5.286618999999604
Fitness,random,10,4,1.0,0.8598073977211151,8,144,7.10372200000009
Bully,random,10,4,0.8343500386911252,0.7173803355555282,10,55,1.9162279999997978
Random,random,10,4,1.0,0.8598073977211151,1,10,1.9164180000004194
HighBattery,random,10,4,0.7399992583445166,0.636256836632754,2,10,1.9069470000001587
MostConnected,random,10,4,1.0,0.8598073977211151,2,24,2.0956429999996473
Raft,random,10,4,0.7399992583445166,0.636256836632754,6,21,2.25246900000009
Fitness,random,10,5,1.0,0.8449635721980395,7,120,5.268373999999909
Bully,random,10,5,0.7692720839409457,0.6500068880389716,10,55,2.3549139999996527
Random,random,10,5,0.6284012253816041,0.5309761441720656,1,10,1.8527609999994255
HighBattery,random,10,5,0.9796723574120103,0.8277874547025268,2,10,2.019585999999407
MostConnected,random,10,5,0.9796723574120103,0.8277874547025268,2,24,2.0783529999999217
Raft,random,10,5,0.9796723574120103,0.0,6,23,2.086128000000187
